Names,Website,Introduction,Phone Number,Address,Review Count,Average Review Count,Store Shopping,In Store Pickup,Delivery,Type,Opens At
Test Zone Laboratory & Collection Center,N/A,N/A,+92 317 7373793,"686 Shadman 1 Rd, Shadman 1 Shadman, Lahore, Punjab 54000, Pakistan",10,4.9,No,No,No,Laboratory,
EEG test centre Punjab radiology Lahore,N/A,N/A,+92 303 7200705,"8-2 gulberg complex, Jail Rd, Gulberg Gulberg V, Lahore, 54660, Pakistan",51,4.9,No,No,No,Medical group,
Test Vision Lab,testvisionlab.com,N/A,+92 333 8558444,"3/7 Shahrah Aiwan-e-Sanat-o-Tijarat, Jinnah Town, Lahore, Punjab 54000, Pakistan",12,4.9,No,No,No,Medical laboratory,
Dr Essa Lab & Diagnostic - Jail Road Lahore,dressalab.com,N/A,+92 21 111 786 986,"1 Jail Rd, Main Gulberg, Lahore, Punjab 57000, Pakistan",309,4.8,No,No,No,Laboratory,
Bio Test Clinics & Laboratories,N/A,N/A,+92 42 37590161,"Plot 681, Main Boulevard, Shadman-1, 54000, Lahore, Punjab 54000, Pakistan",6,4.3,No,No,No,Medical clinic,
FCC Prometric Testing Center No. 8783,prometric.com,N/A,+92 42 35756712,"Feroz Purr، House # 19, F.C. College، Road, Lahore, Pakistan",57,3.8,No,No,No,Educational testing service,
Entry Test,N/A,N/A,+92 42 99203051,"72 Main Blvd Gulberg, Block H Gulberg 2, Lahore, Punjab 54660, Pakistan",126,4.6,No,No,No,Laboratory,
